char	unicode	big5	category	dfs_code	compat_class	t2s	base_char_at_code	ime_reserved	note
缸	U+7F38	ACFB	cjk	$0861	base-exact	缸	缸	yes	
美	U+7F8E	ACFC	cjk	$0CCC	base-exact	美	美	yes	
羿	U+7FBF	ACFD	cjk	$2D60	base-exact	羿	羿	yes	
耄	U+8004	ACFE	cjk	$2948	base-exact	耄	耄	yes	
耐	U+8010	AD40	cjk	$0D40	base-exact	耐	耐	yes	
耍	U+800D	AD41	cjk	$0FF9	base-exact	耍	耍	yes	
耶	U+8036	AD43	cjk	$12F0	base-exact	耶	耶	yes	
胖	U+80D6	AD44	cjk	$0DBC	base-exact	胖	胖	yes	
胥	U+80E5	AD45	cjk	$2C11	base-exact	胥	胥	yes	
胚	U+80DA	AD46	cjk	$0DC5	base-exact	胚	胚	yes	
胃	U+80C3	AD47	cjk	$1164	base-exact	胃	胃	yes	
胄	U+80C4	AD48	cjk	$298A	base-exact	胄	胄	yes	
背	U+80CC	AD49	cjk	$053B	base-exact	背	背	yes	
胡	U+80E1	AD4A	cjk	$0949	base-exact	胡	胡	yes	
胛	U+80DB	AD4B	cjk	$2988	base-exact	胛	胛	yes	
胎	U+80CE	AD4C	cjk	$1077	base-exact	胎	胎	yes	
胞	U+80DE	AD4D	cjk	$0525	base-exact	胞	胞	yes	
胤	U+80E4	AD4E	cjk	$1987	base-exact	胤	胤	yes	
胝	U+80DD	AD4F	cjk	$298F	base-exact	胝	胝	yes	
致	U+81F4	AD50	cjk	$18B8	base-exact	致	致	yes	
舢	U+8222	AD51	cjk	$2D17	base-exact	舢	舢	yes	
苧	U+82E7	AD52	cjk	$1B40	base-t2s-ime-glyph-patch	苎	苎	yes	glyph patch 苎->苧
范	U+8303	AD53	cjk	$07C4	base-exact	范	范	yes	
茅	U+8305	AD54	cjk	$0CB5	base-exact	茅	茅	yes	
苣	U+82E3	AD55	cjk	$1B32	base-exact	苣	苣	yes	
苛	U+82DB	AD56	cjk	$0B20	base-exact	苛	苛	yes	
苦	U+82E6	AD57	cjk	$0B41	base-exact	苦	苦	yes	
茄	U+8304	AD58	cjk	$0E91	base-exact	茄	茄	yes	
若	U+82E5	AD59	cjk	$0F19	base-exact	若	若	yes	
茂	U+8302	AD5A	cjk	$0CBB	base-exact	茂	茂	yes	
茉	U+8309	AD5B	cjk	$1B43	base-exact	茉	茉	yes	
苒	U+82D2	AD5C	cjk	$1B4A	base-exact	苒	苒	yes	
苗	U+82D7	AD5D	cjk	$0CF3	base-exact	苗	苗	yes	
英	U+82F1	AD5E	cjk	$1360	base-exact	英	英	yes	
茁	U+8301	AD5F	cjk	$191D	base-exact	茁	茁	yes	
苜	U+82DC	AD60	cjk	$1B48	base-exact	苜	苜	yes	
苔	U+82D4	AD61	cjk	$1078	base-exact	苔	苔	yes	
苑	U+82D1	AD62	cjk	$13D3	base-exact	苑	苑	yes	
苞	U+82DE	AD63	cjk	$0524	base-exact	苞	苞	yes	
苓	U+82D3	AD64	cjk	$1B63	base-exact	苓	苓	yes	
苟	U+82DF	AD65	cjk	$089E	base-exact	苟	苟	yes	
苯	U+82EF	AD66	cjk	$0546	base-exact	苯	苯	yes	
茆	U+8306	AD67	cjk	$1B66	base-exact	茆	茆	yes	
虐	U+8650	AD68	cjk	$0D96	base-exact	虐	虐	yes	
虹	U+8679	AD69	cjk	$0935	base-exact	虹	虹	yes	
虻	U+867B	AD6A	cjk	$2C46	base-exact	虻	虻	yes	
虺	U+867A	AD6B	cjk	$2C44	base-exact	虺	虺	yes	
