ext_index	char	unicode	big5	category	t2s	dfs_code	page	low	slot_source	compat_class	note
131	訢	U+8A22	B360	cjk	䜣	$149E	$14	$9E	extension-page	cjk-extension	new/expanded DFS page
132	釦	U+91E6	B3A7	cjk	扣	$149F	$14	$9F	extension-page	cjk-extension	new/expanded DFS page
133	釭	U+91ED	B3AA	cjk	釭	$14A0	$14	$A0	extension-page	cjk-extension	new/expanded DFS page
134	傢	U+50A2	B3C3	cjk	家	$14A1	$14	$A1	extension-page	cjk-extension	new/expanded DFS page
135	傑	U+5091	B3C7	cjk	杰	$14A2	$14	$A2	extension-page	cjk-extension	new/expanded DFS page
136	傚	U+509A	B3CB	cjk	傚	$14A3	$14	$A3	extension-page	cjk-extension	new/expanded DFS page
137	勝	U+52DD	B3D3	cjk	胜	$14A4	$14	$A4	extension-page	cjk-extension	new/expanded DFS page
138	喫	U+55AB	B3F0	cjk	吃	$14A5	$14	$A5	extension-page	cjk-extension	new/expanded DFS page
139	幾	U+5E7E	B458	cjk	几	$14A6	$14	$A6	extension-page	cjk-extension	new/expanded DFS page
140	復	U+5FA9	B45F	cjk	复	$14A7	$14	$A7	extension-page	cjk-extension	new/expanded DFS page
141	愒	U+6112	B474	cjk	愒	$14A8	$14	$A8	extension-page	cjk-extension	new/expanded DFS page
142	揹	U+63F9	B4AE	cjk	揹	$14A9	$14	$A9	extension-page	cjk-extension	new/expanded DFS page
143	棲	U+68F2	B4CF	cjk	栖	$14AA	$14	$AA	extension-page	cjk-extension	new/expanded DFS page
144	棻	U+68FB	B4D9	cjk	棻	$14AB	$14	$AB	extension-page	cjk-extension	new/expanded DFS page
145	湧	U+6E67	B4E9	cjk	涌	$14AC	$14	$AC	extension-page	cjk-extension	new/expanded DFS page
146	湣	U+6E63	B543	cjk	湣	$14AD	$14	$AD	extension-page	cjk-extension	new/expanded DFS page
147	湲	U+6E72	B545	cjk	湲	$14AE	$14	$AE	extension-page	cjk-extension	new/expanded DFS page
148	湩	U+6E69	B546	cjk	湩	$14AF	$14	$AF	extension-page	cjk-extension	new/expanded DFS page
149	焜	U+711C	B54F	cjk	焜	$14B0	$14	$B0	extension-page	cjk-extension	new/expanded DFS page
150	琯	U+742F	B55F	cjk	琯	$14B1	$14	$B1	extension-page	cjk-extension	new/expanded DFS page
151	痠	U+75E0	B56D	cjk	酸	$14B2	$14	$B2	extension-page	cjk-extension	new/expanded DFS page
152	睏	U+774F	B574	cjk	困	$14B3	$14	$B3	extension-page	cjk-extension	new/expanded DFS page
153	絰	U+7D70	B5BB	cjk	绖	$14B4	$14	$B4	extension-page	cjk-extension	new/expanded DFS page
154	菴	U+83F4	B5DA	cjk	庵	$14B5	$14	$B5	extension-page	cjk-extension	new/expanded DFS page
155	註	U+8A3B	B5F9	cjk	注	$14B6	$14	$B6	extension-page	cjk-extension	new/expanded DFS page
156	詖	U+8A56	B647	cjk	诐	$14B7	$14	$B7	extension-page	cjk-extension	new/expanded DFS page
157	週	U+9031	B667	cjk	周	$14B8	$14	$B8	extension-page	cjk-extension	new/expanded DFS page
158	鈇	U+9207	B679	cjk	𫓧	$14B9	$14	$B9	extension-page	cjk-extension	new/expanded DFS page
159	閒	U+9592	B6A2	cjk	闲	$14BA	$14	$BA	extension-page	cjk-extension	new/expanded DFS page
160	隄	U+9684	B6AC	cjk	隄	$14BB	$14	$BB	extension-page	cjk-extension	new/expanded DFS page
161	雲	U+96F2	B6B3	cjk	云	$14BC	$14	$BC	extension-page	cjk-extension	new/expanded DFS page
162	傭	U+50AD	B6C4	cjk	佣	$14BD	$14	$BD	extension-page	cjk-extension	new/expanded DFS page
163	僇	U+50C7	B6CE	cjk	僇	$14BE	$14	$BE	extension-page	cjk-extension	new/expanded DFS page
164	勦	U+52E6	B6D3	cjk	勦	$14BF	$14	$BF	extension-page	cjk-extension	new/expanded DFS page
165	勣	U+52E3	B6D6	cjk	𪟝	$14C0	$14	$C0	extension-page	cjk-extension	new/expanded DFS page
166	塗	U+5857	B6EE	cjk	涂	$14C1	$14	$C1	extension-page	cjk-extension	new/expanded DFS page
167	塚	U+585A	B6EF	cjk	冢	$14C2	$14	$C2	extension-page	cjk-extension	new/expanded DFS page
168	塭	U+586D	B6F3	cjk	塭	$14C3	$14	$C3	extension-page	cjk-extension	new/expanded DFS page
169	幹	U+5E79	B746	cjk	干	$14C4	$14	$C4	extension-page	cjk-extension	new/expanded DFS page
170	彙	U+5F59	B74A	cjk	汇	$14C5	$14	$C5	extension-page	cjk-extension	new/expanded DFS page
171	徬	U+5FAC	B74B	cjk	徬	$14C6	$14	$C6	extension-page	cjk-extension	new/expanded DFS page
172	慄	U+6144	B758	cjk	栗	$14C7	$14	$C7	extension-page	cjk-extension	new/expanded DFS page
173	搾	U+643E	B763	cjk	搾	$14C8	$14	$C8	extension-page	cjk-extension	new/expanded DFS page
174	搆	U+6406	B770	cjk	搆	$14C9	$14	$C9	extension-page	cjk-extension	new/expanded DFS page
175	暘	U+6698	B77A	cjk	旸	$14CA	$14	$CA	extension-page	cjk-extension	new/expanded DFS page
176	暍	U+668D	B77B	cjk	暍	$14CB	$14	$CB	extension-page	cjk-extension	new/expanded DFS page
177	極	U+6975	B7A5	cjk	极	$14CC	$14	$CC	extension-page	cjk-extension	new/expanded DFS page
178	楛	U+695B	B7B1	cjk	楛	$14CD	$14	$CD	extension-page	cjk-extension	new/expanded DFS page
179	準	U+6E96	B7C7	cjk	准	$14CE	$14	$CE	extension-page	cjk-extension	new/expanded DFS page
180	煆	U+7146	B7DA	cjk	煆	$14CF	$14	$CF	extension-page	cjk-extension	new/expanded DFS page
181	煖	U+7156	B7DC	cjk	煖	$14D0	$14	$D0	extension-page	cjk-extension	new/expanded DFS page
182	瑯	U+746F	B7E3	cjk	瑯	$14D1	$14	$D1	extension-page	cjk-extension	new/expanded DFS page
183	痲	U+75F2	B7F2	cjk	痲	$14D2	$14	$D2	extension-page	cjk-extension	new/expanded DFS page
184	痺	U+75FA	B7F4	cjk	痺	$14D3	$14	$D3	extension-page	cjk-extension	new/expanded DFS page
185	痳	U+75F3	B7F7	cjk	痳	$14D4	$14	$D4	extension-page	cjk-extension	new/expanded DFS page
186	睪	U+776A	B841	cjk	睪	$14D5	$14	$D5	extension-page	cjk-extension	new/expanded DFS page
187	硿	U+787F	B851	cjk	硿	$14D6	$14	$D6	extension-page	cjk-extension	new/expanded DFS page
188	萬	U+842C	B855	cjk	万	$14D7	$14	$D7	extension-page	cjk-extension	new/expanded DFS page
189	稜	U+7A1C	B857	cjk	棱	$14D8	$14	$D8	extension-page	cjk-extension	new/expanded DFS page
190	綑	U+7D91	B869	cjk	捆	$14D9	$14	$D9	extension-page	cjk-extension	new/expanded DFS page
191	羨	U+7FA8	B872	cjk	羡	$14DA	$14	$DA	extension-page	cjk-extension	new/expanded DFS page
192	聖	U+8056	B874	cjk	圣	$14DB	$14	$DB	extension-page	cjk-extension	new/expanded DFS page
193	裡	U+88E1	B8CC	cjk	里	$14DC	$14	$DC	extension-page	cjk-extension	new/expanded DFS page
194	覜	U+899C	B8D0	cjk	覜	$14DD	$14	$DD	extension-page	cjk-extension	new/expanded DFS page
195	誇	U+8A87	B8D8	cjk	夸	$14DE	$14	$DE	extension-page	cjk-extension	new/expanded DFS page
196	詻	U+8A7B	B8E3	cjk	詻	$14DF	$14	$DF	extension-page	cjk-extension	new/expanded DFS page
197	詨	U+8A68	B8E5	cjk	詨	$14E0	$14	$E0	extension-page	cjk-extension	new/expanded DFS page
198	跦	U+8DE6	B8F9	cjk	跦	$14E1	$14	$E1	extension-page	cjk-extension	new/expanded DFS page
199	遊	U+904A	B943	cjk	游	$14E2	$14	$E2	extension-page	cjk-extension	new/expanded DFS page
200	鄗	U+9117	B952	cjk	鄗	$14E3	$14	$E3	extension-page	cjk-extension	new/expanded DFS page
